,Joined,Locus tag,Name
23,NZ_MTBH01000106.1_360_1760,BV935_RS09365,TrkH family potassium uptake protein
24,NZ_MTBH01000009.1_14983_16119,BV935_RS02530,spermidine/putrescine ABC transporter ATP-binding protein PotA
25,NZ_MTBH01000015.1_33158_34186,BV935_RS03935,heme ABC transporter ATP-binding protein FbpC
26,NZ_MTBH01000069.1_732_1679,BV935_RS08375,ferric ABC transporter ATP-binding protein
27,NZ_MTBH01000013.1_16077_17702,BV935_RS03515,cysteine/glutathione ABC transporter ATP-binding protein/permease CydC
28,NZ_MTBH01000023.1_3_1439,BV935_RS05040,ABC transporter ATP-binding protein
29,NZ_MTBH01000013.1_17804_19558,BV935_RS03520,cysteine/glutathione ABC transporter permease/ATP-binding protein CydD
30,NZ_MTBH01000099.1_801_2285,BV935_RS09275,ABC transporter ATP-binding protein/permease
31,NZ_MTBH01000017.1_23074_24603,BV935_RS04230,F0F1 ATP synthase subunit alpha
32,NZ_MTBH01000017.1_20790_22157,BV935_RS04220,F0F1 ATP synthase subunit beta
33,NZ_MTBH01000017.1_22180_23046,BV935_RS04225,F0F1 ATP synthase subunit gamma
34,NZ_MTBH01000017.1_24619_25149,BV935_RS04235,F0F1 ATP synthase subunit delta
35,NZ_MTBH01000020.1_4592_5359,BV935_RS04615,phosphate ABC transporter ATP-binding protein PstB
36,NZ_MTBH01000064.1_7095_8093,BV935_RS08180,molybdenum ABC transporter ATP-binding protein ModC
37,NZ_MTBH01000045.1_5679_7046,BV935_RS07285,glutathione-disulfide reductase
38,NZ_MTBH01000001.1_5435_5887,BV935_RS00030,dUTP diphosphatase
39,NZ_MTBH01000019.1_21464_22246,BV935_RS04545,NAD(+) diphosphatase
40,NZ_MTBH01000032.1_1158_1943,BV935_RS06210,nucleoside triphosphate pyrophosphohydrolase
41,NZ_MTBH01000050.1_3587_4474,BV935_RS07580,NAD(+) kinase
42,NZ_MTBH01000006.1_17902_19437,BV935_RS01735,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
43,NZ_MTBH01000006.1_16464_17885,BV935_RS01730,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta
44,NZ_MTBH01000031.1_10789_11493,BV935_RS06150,acid phosphatase AphA
45,NZ_MTBH01000043.1_8262_8981,BV935_RS07160,lipoprotein e(P4)
46,NZ_MTBH01000048.1_3152_3886,BV935_RS07460,5'/3'-nucleotidase SurE
47,NZ_MTBH01000076.1_4790_6247,BV935_RS08635,signal peptide peptidase SppA
48,NZ_MTBH01000018.1_29395_30033,BV935_RS04430,adenylate kinase
49,NZ_MTBH01000018.1_24649_25248,BV935_RS04405,dephospho-CoA kinase
50,NZ_MTBH01000023.1_12861_14576,BV935_RS05130,urease subunit alpha
51,NZ_MTBH01000023.1_12166_12465,BV935_RS05120,urease subunit gamma
52,NZ_MTBH01000043.1_5853_7322,BV935_RS07150,exopolyphosphatase
53,NZ_MTBH01000032.1_15240_16286,BV935_RS06290,uncharacterized gene
54,NZ_MTBH01000018.1_9700_10122,BV935_RS04335,nucleoside-diphosphate kinase
55,NZ_MTBH01000015.1_7110_7733,BV935_RS03805,guanylate kinase
56,NZ_MTBH01000036.1_12809_13519,BV935_RS06670,UMP kinase
57,NZ_MTBH01000001.1_13802_14677,BV935_RS00075,bifunctional riboflavin kinase/FAD synthetase
58,NZ_MTBH01000005.1_233_1024,BV935_RS01355,Cof-type HAD-IIB family hydrolase
59,NZ_MTBH01000004.1_37443_38303,BV935_RS01235,pyridoxal kinase
60,NZ_MTBH01000015.1_12820_13962,BV935_RS03830,methionine adenosyltransferase
61,NZ_MTBH01000060.1_6458_7669,BV935_RS07990,pyridoxal phosphate-dependent aminotransferase
62,NZ_MTBH01000010.1_35692_37368,BV935_RS02875,NAD nucleotidase
63,NZ_MTBH01000005.1_41203_42009,BV935_RS01560,"3'(2'),5'-bisphosphate nucleotidase CysQ"
64,NZ_MTBH01000013.1_13085_13609,BV935_RS03490,hypoxanthine phosphoribosyltransferase
65,NZ_MTBH01000014.1_31776_32315,BV935_RS03765,adenine phosphoribosyltransferase
66,NZ_MTBH01000014.1_13877_14563,BV935_RS03685,5'-methylthioadenosine/adenosylhomocysteine nucleosidase
67,NZ_MTBH01000015.1_117_1244,BV935_RS03780,FMN-dependent L-lactate dehydrogenase LldD
68,NZ_MTBH01000013.1_23661_26741,BV935_RS03555,FAD-binding and (Fe-S)-binding domain-containing protein
69,NZ_MTBH01000049.1_7298_9031,BV935_RS07540,lipid A ABC transporter ATP-binding protein/permease MsbA
70,NZ_MTBH01000002.1_41014_42240,BV935_RS00600,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
71,NZ_MTBH01000014.1_32513_33886,BV935_RS03770,dihydrolipoyl dehydrogenase
72,NZ_MTBH01000003.1_51069_53348,BV935_RS00970,formate C-acetyltransferase
73,NZ_MTBH01000001.1_34588_35661,BV935_RS00195,3-isopropylmalate dehydrogenase
74,NZ_MTBH01000060.1_3592_4947,BV935_RS07980,L-serine ammonia-lyase
75,NZ_MTBH01000087.1_1881_3389,BV935_RS08985,"threonine ammonia-lyase, biosynthetic"
76,NZ_MTBH01000026.1_23542_24513,BV935_RS05570,phosphate acetyltransferase
77,NZ_MTBH01000081.1_2196_3374,BV935_RS08790,acetyl-CoA C-acetyltransferase
78,NZ_MTBH01000008.1_9243_10340,BV935_RS02265,glutamate 5-kinase
79,NZ_MTBH01000041.1_7850_9136,BV935_RS07045,NADP-specific glutamate dehydrogenase
80,NZ_MTBH01000041.1_7853_9196,BV935_RS07045,NADP-specific glutamate dehydrogenase
81,NZ_MTBH01000053.1_495_1223,BV935_RS07715,5-oxoprolinase subunit PxpA
82,NZ_MTBH01000053.1_2163_2768,BV935_RS07725,5-oxoprolinase subunit PxpB
83,NZ_MTBH01000018.1_5793_7181,BV935_RS04320,type I glutamate--ammonia ligase
84,NZ_MTBH01000014.1_19735_20313,BV935_RS03700,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
85,NZ_MTBH01000031.1_8473_9366,BV935_RS06135,L-asparaginase 2
86,NZ_MTBH01000011.1_23788_25158,BV935_RS03110,argininosuccinate lyase
87,NZ_MTBH01000015.1_1458_2264,BV935_RS03785,glutamate racemase
88,NZ_MTBH01000021.1_461_2149,BV935_RS04750,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
89,NZ_MTBH01000035.1_2336_4813,BV935_RS06540,nitrate reductase catalytic subunit NapA
90,NZ_MTBH01000003.1_9669_10289,BV935_RS00770,superoxide dismutase [Mn]
91,NZ_MTBH01000018.1_1934_2560,BV935_RS04305,pyridoxamine 5'-phosphate oxidase
92,NZ_MTBH01000011.1_25287_26171,BV935_RS03115,UTP--glucose-1-phosphate uridylyltransferase GalU
93,NZ_MTBH01000018.1_26876_27889,BV935_RS04420,UDP-glucose 4-epimerase GalE
94,NZ_MTBH01000003.1_34557_35870,BV935_RS00895,xylose isomerase
95,NZ_MTBH01000013.1_21589_22557,BV935_RS03535,ferrochelatase
96,NZ_MTBH01000014.1_972_2174,BV935_RS03620,acetate kinase
97,NZ_MTBH01000015.1_4381_6423,BV935_RS03795,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"
98,NZ_MTBH01000035.1_11783_14011,BV935_RS06590,GTP diphosphokinase
99,NZ_MTBH01000011.1_20974_22587,BV935_RS03100,phosphoenolpyruvate carboxykinase (ATP)
100,NZ_MTBH01000014.1_6630_7487,BV935_RS03650,malate dehydrogenase
101,NZ_MTBH01000002.1_17566_20202,BV935_RS00500,phosphoenolpyruvate carboxylase
102,NZ_MTBH01000022.1_18519_20021,BV935_RS04985,citrate lyase subunit alpha
103,NZ_MTBH01000022.1_20036_20905,BV935_RS04990,citrate (pro-3S)-lyase subunit beta
104,NZ_MTBH01000002.1_2534_3721,BV935_RS00385,amino acid aminotransferase
105,NZ_MTBH01000052.1_7716_9455,BV935_RS07695,fumarate reductase (quinol) flavoprotein subunit
106,NZ_MTBH01000027.1_19219_20430,BV935_RS05695,IscS subfamily cysteine desulfurase
107,NZ_MTBH01000030.1_18241_19281,BV935_RS06075,alanine racemase
108,NZ_MTBH01000026.1_18076_18942,BV935_RS05540,succinate--CoA ligase subunit alpha
109,NZ_MTBH01000026.1_16907_18070,BV935_RS05535,ADP-forming succinate--CoA ligase subunit beta
110,NZ_MTBH01000007.1_38831_39928,BV935_RS02130,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
111,NZ_MTBH01000033.1_4992_6359,BV935_RS06350,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
112,NZ_MTBH01000009.1_34529_35179,BV935_RS02635,GTP cyclohydrolase I FolE
113,NZ_MTBH01000077.1_3901_4545,BV935_RS08655,GTP cyclohydrolase II
114,NZ_MTBH01000072.1_4116_5360,BV935_RS08490,diaminopimelate decarboxylase
115,NZ_MTBH01000005.1_11259_13418,BV935_RS01415,ornithine decarboxylase SpeF
116,NZ_MTBH01000024.1_13744_14379,BV935_RS05275,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
117,NZ_MTBH01000016.1_6924_9368,BV935_RS04000,bifunctional aspartate kinase/homoserine dehydrogenase I
118,NZ_MTBH01000005.1_36494_37483,BV935_RS01535,aspartate--ammonia ligase
119,NZ_MTBH01000020.1_21519_22910,BV935_RS04705,class II fumarate hydratase
120,NZ_MTBH01000023.1_18411_19805,BV935_RS05160,aspartate ammonia-lyase
121,NZ_MTBH01000011.1_34089_35135,BV935_RS03155,galactose-1-phosphate uridylyltransferase
122,NZ_MTBH01000014.1_14654_17476,BV935_RS03690,TonB-dependent receptor
123,NZ_MTBH01000030.1_5812_7095,BV935_RS06015,3-phosphoshikimate 1-carboxyvinyltransferase
124,NZ_MTBH01000069.1_5165_5767,BV935_RS08390,uridine kinase
125,NZ_MTBH01000041.1_13024_13842,BV935_RS07075,S-formylglutathione hydrolase
126,NZ_MTBH01000062.1_3885_5261,BV935_RS08085,cysteine--tRNA ligase
127,NZ_MTBH01000069.1_5800_6378,BV935_RS08395,dCTP deaminase
128,NZ_MTBH01000001.1_79277_80110,BV935_RS00365,phosphoserine phosphatase
129,NZ_MTBH01000059.1_4804_5871,BV935_RS07960,homoserine O-acetyltransferase
130,NZ_MTBH01000029.1_1075_2046,BV935_RS05890,thiamine-phosphate kinase
131,NZ_MTBH01000002.1_42353_45148,BV935_RS00605,2-oxoglutarate dehydrogenase E1 component
132,NZ_MTBH01000016.1_2675_3754,BV935_RS03965,methionine biosynthesis PLP-dependent protein
133,NZ_MTBH01000008.1_42709_44016,BV935_RS02425,phosphopyruvate hydratase
134,NZ_MTBH01000003.1_4590_5846,BV935_RS00735,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
135,NZ_MTBH01000006.1_26137_26916,BV935_RS01770,tryptophan synthase subunit alpha
136,NZ_MTBH01000006.1_24944_26125,BV935_RS01765,tryptophan synthase subunit beta
137,NZ_MTBH01000044.1_1_1365,BV935_RS07190,"L-2,4-diaminobutyrate decarboxylase"
138,NZ_MTBH01000013.1_6434_7588,BV935_RS03450,prephenate dehydratase
139,NZ_MTBH01000016.1_1679_2656,BV935_RS03960,2-hydroxyacid dehydrogenase
140,NZ_MTBH01000028.1_20542_21468,BV935_RS05860,2-hydroxyacid dehydrogenase
141,NZ_MTBH01000001.1_20832_22175,BV935_RS00125,acetyl-CoA carboxylase biotin carboxylase subunit
142,NZ_MTBH01000004.1_36423_37367,BV935_RS01230,acetyl-CoA carboxylase carboxyl transferase subunit alpha
143,NZ_MTBH01000041.1_11876_13009,BV935_RS07070,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
144,NZ_MTBH01000001.1_28836_29795,BV935_RS00170,6-phosphofructokinase
145,NZ_MTBH01000062.1_878_1789,BV935_RS08070,N-acetylglucosamine kinase
146,NZ_MTBH01000002.1_29289_30263,BV935_RS00545,class 1 fructose-bisphosphatase
147,NZ_MTBH01000023.1_3413_4369,BV935_RS05060,class II fructose-bisphosphatase
148,NZ_MTBH01000016.1_18572_19348,BV935_RS04055,glucosamine-6-phosphate deaminase
149,NZ_MTBH01000019.1_18486_20315,BV935_RS04530,glutamine--fructose-6-phosphate transaminase (isomerizing)
150,NZ_MTBH01000030.1_16477_18123,BV935_RS06070,glucose-6-phosphate isomerase
151,NZ_MTBH01000053.1_1240_2145,BV935_RS07720,5-oxoprolinase/urea amidolyase family protein
152,NZ_MTBH01000003.1_29212_30342,BV935_RS00875,MalY/PatB family protein
153,NZ_MTBH01000016.1_2687_3760,BV935_RS03965,methionine biosynthesis PLP-dependent protein
154,NZ_MTBH01000078.1_3512_4672,BV935_RS08705,cystathionine beta-lyase
155,NZ_MTBH01000036.1_2272_3405,BV935_RS06630,cytochrome d ubiquinol oxidase subunit II
156,NZ_MTBH01000005.1_42099_43541,BV935_RS01565,glucose-6-phosphate dehydrogenase
157,NZ_MTBH01000046.1_5769_6773,BV935_RS07365,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
158,NZ_MTBH01000043.1_9916_11430,BV935_RS07175,glycerol kinase GlpK
159,NZ_MTBH01000003.1_22623_23555,BV935_RS00850,cysteine synthase A
160,NZ_MTBH01000012.1_21778_23244,BV935_RS03325,leucyl aminopeptidase
161,NZ_MTBH01000023.1_8332_9783,BV935_RS05105,aminoacyl-histidine dipeptidase
162,NZ_MTBH01000005.1_5644_6855,BV935_RS01385,Zn-dependent hydrolase
163,NZ_MTBH01000081.1_2196_3371,BV935_RS08790,acetyl-CoA C-acetyltransferase
164,NZ_MTBH01000008.1_8663_9142,BV935_RS02260,type 3 dihydrofolate reductase
165,NZ_MTBH01000059.1_384_1676,BV935_RS07945,bifunctional tetrahydrofolate synthase/dihydrofolate synthase
166,NZ_MTBH01000030.1_7098_7931,BV935_RS06020,formyltetrahydrofolate deformylase
167,NZ_MTBH01000018.1_23313_24575,BV935_RS04400,serine hydroxymethyltransferase
168,NZ_MTBH01000047.1_8789_10072,BV935_RS07430,glucose-1-phosphate adenylyltransferase
169,NZ_MTBH01000017.1_30538_31839,BV935_RS04285,phospho-sugar mutase
170,NZ_MTBH01000014.1_25771_26460,BV935_RS03735,orotidine-5'-phosphate decarboxylase
171,NZ_MTBH01000014.1_28932_29555,BV935_RS03755,uracil phosphoribosyltransferase
172,NZ_MTBH01000020.1_10607_12085,BV935_RS04650,anthranilate synthase component I
173,NZ_MTBH01000020.1_12125_12703,BV935_RS04655,aminodeoxychorismate/anthranilate synthase component II
174,NZ_MTBH01000042.1_7888_8628,BV935_RS07120,triose-phosphate isomerase
175,NZ_MTBH01000043.1_12489_13532,BV935_RS07185,glycerophosphodiester phosphodiesterase
176,NZ_MTBH01000040.1_10803_11747,BV935_RS06990,ribose-phosphate pyrophosphokinase
177,NZ_MTBH01000031.1_20260_21027,BV935_RS06190,ribokinase
178,NZ_MTBH01000017.1_15074_15715,BV935_RS04190,ribose-5-phosphate isomerase RpiA
179,NZ_MTBH01000015.1_7981_8976,BV935_RS03810,type I glyceraldehyde-3-phosphate dehydrogenase
180,NZ_MTBH01000003.1_39057_39647,BV935_RS00915,deoxyribose-phosphate aldolase
181,NZ_MTBH01000001.1_68405_70348,BV935_RS00315,transketolase
182,NZ_MTBH01000025.1_2915_3985,BV935_RS05355,class II fructose-bisphosphate aldolase
183,NZ_MTBH01000014.1_3423_4934,BV935_RS03635,amidophosphoribosyltransferase
184,NZ_MTBH01000020.1_12125_12691,BV935_RS04655,aminodeoxychorismate/anthranilate synthase component II
185,NZ_MTBH01000020.1_13194_14192,BV935_RS04665,anthranilate phosphoribosyltransferase
186,NZ_MTBH01000010.1_29_934,BV935_RS02720,bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA
187,NZ_MTBH01000031.1_17939_18865,BV935_RS06180,nucleoside hydrolase
188,NZ_MTBH01000033.1_2275_3642,BV935_RS06335,adenylosuccinate lyase
189,NZ_MTBH01000026.1_13259_14287,BV935_RS05520,branched-chain amino acid aminotransferase
190,NZ_MTBH01000011.1_32870_34009,BV935_RS03150,galactokinase
191,NZ_MTBH01000034.1_8753_9415,BV935_RS06465,acylneuraminate cytidylyltransferase
192,NZ_MTBH01000018.1_20161_21747,BV935_RS04390,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
193,NZ_MTBH01000010.1_1070_2515,BV935_RS02725,IMP dehydrogenase
194,NZ_MTBH01000002.1_13830_15122,BV935_RS00485,adenylosuccinate synthase
195,NZ_MTBH01000013.1_1022_1936,BV935_RS03425,D-alanine--D-alanine ligase
196,NZ_MTBH01000001.1_378_1655,BV935_RS00005,diaminobutyrate--2-oxoglutarate transaminase
197,NZ_MTBH01000004.1_52436_54121,BV935_RS01310,long-chain-fatty-acid--CoA ligase FadD
198,NZ_MTBH01000011.1_319_969,BV935_RS02925,acetate CoA-transferase subunit alpha
199,NZ_MTBH01000044.1_10944_11738,BV935_RS07240,inositol-1-monophosphatase
200,NZ_MTBH01000087.1_1_1770,BV935_RS08980,dihydroxy-acid dehydratase
201,NZ_MTBH01000001.1_32959_34476,BV935_RS00190,2-isopropylmalate synthase
202,NZ_MTBH01000046.1_2375_3211,BV935_RS07350,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
203,NZ_MTBH01000009.1_36433_37302,BV935_RS02650,methylenetetrahydrofolate reductase
204,NZ_MTBH01000023.1_7758_8222,BV935_RS05100,xanthine phosphoribosyltransferase
205,NZ_MTBH01000043.1_9368_9832,BV935_RS07170,xanthine phosphoribosyltransferase
206,NZ_MTBH01000010.1_2643_4205,BV935_RS02730,glutamine-hydrolyzing GMP synthase
207,NZ_MTBH01000004.1_12614_13426,BV935_RS01100,pyrroline-5-carboxylate reductase
208,NZ_MTBH01000017.1_29950_30450,BV935_RS04280,S-ribosylhomocysteine lyase
209,NZ_MTBH01000005.1_35752_36423,BV935_RS01530,phosphoglycolate phosphatase
210,NZ_MTBH01000028.1_20545_21471,BV935_RS05860,2-hydroxyacid dehydrogenase
211,NZ_MTBH01000005.1_1451_2452,BV935_RS01360,ornithine carbamoyltransferase
212,NZ_MTBH01000003.1_56697_57416,BV935_RS00995,peptidoglycan editing factor PgeF
213,NZ_MTBH01000001.1_68369_70369,BV935_RS00315,transketolase
214,NZ_MTBH01000016.1_4650_5921,BV935_RS03990,threonine synthase
215,NZ_MTBH01000024.1_14394_15791,BV935_RS05280,glucuronate isomerase
216,NZ_MTBH01000025.1_1637_2788,BV935_RS05350,phosphoglycerate kinase
217,NZ_MTBH01000017.1_15763_16992,BV935_RS04195,phosphoglycerate dehydrogenase
218,NZ_MTBH01000016.1_10449_11582,BV935_RS04010,glycerate kinase
219,NZ_MTBH01000074.1_4204_4887,BV935_RS08560,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase"
220,NZ_MTBH01000005.1_45384_46784,BV935_RS01585,decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase
221,NZ_MTBH01000005.1_35032_35700,BV935_RS01525,ribulose-phosphate 3-epimerase
222,NZ_MTBH01000002.1_61326_62231,BV935_RS00685,KpsF/GutQ family sugar isomerase
223,NZ_MTBH01000024.1_16700_17599,BV935_RS05290,sugar kinase
224,NZ_MTBH01000006.1_24166_24918,BV935_RS01760,SDR family oxidoreductase
225,NZ_MTBH01000024.1_15804_16646,BV935_RS05285,SDR family oxidoreductase
226,NZ_MTBH01000023.1_25510_26073,BV935_RS05185,thymidine kinase
227,NZ_MTBH01000063.1_681_2429,BV935_RS08120,L-fucose isomerase
228,NZ_MTBH01000011.1_31829_32815,BV935_RS03145,galactose-1-epimerase
229,NZ_MTBH01000003.1_35939_37387,BV935_RS00900,xylulokinase
230,NZ_MTBH01000009.1_41848_42639,BV935_RS02680,"(2E,6E)-farnesyl diphosphate synthase"
231,NZ_MTBH01000001.1_3537_4727,BV935_RS00025,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
232,NZ_MTBH01000009.1_2352_3461,BV935_RS02465,bifunctional chorismate mutase/prephenate dehydrogenase
233,NZ_MTBH01000013.1_32311_33282,BV935_RS03590,aminodeoxychorismate synthase component I
234,NZ_MTBH01000013.1_33282_33878,BV935_RS03595,anthranilate synthase component II
235,NZ_MTBH01000020.1_10604_12100,BV935_RS04650,anthranilate synthase component I
236,NZ_MTBH01000034.1_2892_3593,BV935_RS06440,hydroxyacylglutathione hydrolase
237,NZ_MTBH01000031.1_17939_18868,BV935_RS06180,nucleoside hydrolase
238,NZ_MTBH01000016.1_5976_6899,BV935_RS03995,homoserine kinase
239,NZ_MTBH01000016.1_19674_20513,BV935_RS04060,N-acetylneuraminate lyase
240,NZ_MTBH01000066.1_1750_2787,BV935_RS08230,3-deoxy-7-phosphoheptulonate synthase AroG
241,NZ_MTBH01000003.1_48875_49825,BV935_RS00960,transaldolase
242,NZ_MTBH01000023.1_3389_4378,BV935_RS05060,class II fructose-bisphosphatase
243,NZ_MTBH01000021.1_12424_13062,BV935_RS04825,orotate phosphoribosyltransferase
244,NZ_MTBH01000021.1_4571_5326,BV935_RS04765,uridine phosphorylase
245,NZ_MTBH01000009.1_18973_19785,BV935_RS02545,cytidine deaminase
246,NZ_MTBH01000001.1_72785_74239,BV935_RS00335,FGGY-family carbohydrate kinase
247,NZ_MTBH01000045.1_771_1484,BV935_RS07255,3-oxoacyl-ACP reductase FabG
248,NZ_MTBH01000008.1_40442_41587,BV935_RS02410,glutathionylspermidine synthase family protein
249,NZ_MTBH01000042.1_7438_7752,BV935_RS07115,thiosulfate sulfurtransferase GlpE
250,NZ_MTBH01000012.1_826_2157,BV935_RS03225,argininosuccinate synthase
251,NZ_MTBH01000009.1_41851_42726,BV935_RS02680,"(2E,6E)-farnesyl diphosphate synthase"
252,NZ_MTBH01000005.1_43652_44347,BV935_RS01570,6-phosphogluconolactonase
253,NZ_MTBH01000016.1_17341_18483,BV935_RS04050,N-acetylglucosamine-6-phosphate deacetylase
254,NZ_MTBH01000071.1_3375_4691,BV935_RS08460,phosphoglucosamine mutase
255,NZ_MTBH01000032.1_11843_12766,BV935_RS06275,1-phosphofructokinase
256,NZ_MTBH01000081.1_2199_3374,BV935_RS08790,acetyl-CoA C-acetyltransferase
257,NZ_MTBH01000071.1_3369_4700,BV935_RS08460,phosphoglucosamine mutase
258,NZ_MTBH01000016.1_22336_23016,BV935_RS04075,N-acetylmannosamine-6-phosphate 2-epimerase
259,NZ_MTBH01000032.1_4756_5376,BV935_RS06230,dTMP kinase
260,NZ_MTBH01000008.1_12640_13488,BV935_RS02285,thymidylate synthase
261,NZ_MTBH01000028.1_4276_4905,BV935_RS05760,aldolase
262,NZ_MTBH01000063.1_2680_3426,BV935_RS08125,DeoR/GlpR family DNA-binding transcription regulator
263,NZ_MTBH01000001.1_381_1664,BV935_RS00005,diaminobutyrate--2-oxoglutarate transaminase
264,NZ_MTBH01000033.1_12190_13302,BV935_RS06390,aspartate-semialdehyde dehydrogenase
265,NZ_MTBH01000091.1_1012_1890,BV935_RS09075,4-hydroxy-tetrahydrodipicolinate synthase
266,NZ_MTBH01000010.1_17968_18528,BV935_RS02775,5-formyltetrahydrofolate cyclo-ligase
267,NZ_MTBH01000006.1_24959_26119,BV935_RS01765,tryptophan synthase subunit beta
268,NZ_MTBH01000054.1_8095_8826,BV935_RS07775,glycosyltransferase family 2 protein
269,NZ_MTBH01000010.1_34871_35383,BV935_RS02870,shikimate kinase AroK
270,NZ_MTBH01000054.1_6702_7508,BV935_RS07765,shikimate dehydrogenase
271,NZ_MTBH01000005.1_5638_6837,BV935_RS01385,Zn-dependent hydrolase
272,NZ_MTBH01000027.1_15631_17046,BV935_RS05670,Fe-S protein assembly chaperone HscA
273,NZ_MTBH01000038.1_8067_9836,BV935_RS06835,molecular chaperone DnaK
274,NZ_MTBH01000044.1_2493_3503,BV935_RS07200,outer membrane-stress sensor serine endopeptidase DegS
275,NZ_MTBH01000056.1_7604_8965,BV935_RS07865,DegQ family serine endoprotease
276,NZ_MTBH01000042.1_3909_5384,BV935_RS07100,ketol-acid reductoisomerase
277,NZ_MTBH01000015.1_9203_10987,BV935_RS03815,long-chain fatty acid--CoA ligase
278,NZ_MTBH01000016.1_2675_3778,BV935_RS03965,methionine biosynthesis PLP-dependent protein
279,NZ_MTBH01000004.1_23667_24071,BV935_RS01170,lactoylglutathione lyase
280,NZ_MTBH01000001.1_77149_78144,BV935_RS00355,3-dehydro-L-gulonate 2-dehydrogenase
281,NZ_MTBH01000016.1_21416_22282,BV935_RS04070,N-acetylmannosamine kinase
282,NZ_MTBH01000015.1_31296_32423,BV935_RS03925,succinyl-diaminopimelate desuccinylase
283,NZ_MTBH01000005.1_55763_56584,BV935_RS01655,diaminopimelate epimerase
284,NZ_MTBH01000033.1_11204_12133,BV935_RS06385,alpha/beta hydrolase
285,NZ_MTBH01000018.1_7284_8303,BV935_RS04325,"dTDP-glucose 4,6-dehydratase"
286,NZ_MTBH01000039.1_2858_4159,BV935_RS06875,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
287,NZ_MTBH01000039.1_6741_8201,BV935_RS06890,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
