,Joined,Locus tag,Name
27,NZ_CP031237.1_1187462_1188967,DV365_RS05830,D-xylose ABC transporter ATP-binding protein
28,NZ_CP031237.1_510662_512239,DV365_RS02590,lipid A ABC transporter ATP-binding protein/permease MsbA
29,NZ_CP031237.1_1505248_1503743,DV365_RS07350,galactose/methyl galactoside ABC transporter ATP-binding protein MglA
30,NZ_CP031237.1_1114344_1115291,DV365_RS05470,peptide ABC transporter ATP-binding protein
31,NZ_CP031237.1_1176808_1177689,DV365_RS05780,murein tripeptide/oligopeptide ABC transporter ATP binding protein OppF
32,NZ_CP031237.1_1113328_1114149,DV365_RS05465,dipeptide ABC transporter ATP-binding protein
33,NZ_CP031237.1_1211169_1211957,DV365_RS05945,phospholipid ABC transporter ATP-binding protein MlaF
34,NZ_CP031237.1_1175738_1176679,DV365_RS05775,ABC transporter ATP-binding protein
35,NZ_CP031237.1_1217576_1218322,DV365_RS05990,amino acid ABC transporter ATP-binding protein
36,NZ_CP031237.1_1641793_1640393,DV365_RS08055,TrkH family potassium uptake protein
37,NZ_CP031237.1_1117056_1117784,DV365_RS05485,arginine ABC transporter ATP-binding protein ArtP
38,NZ_CP031237.1_735377_736852,DV365_RS03585,energy-dependent translational throttle protein EttA
39,NZ_CP031237.1_1607867_1608898,DV365_RS07900,methionine ABC transporter ATP-binding protein MetN
40,NZ_CP031237.1_395311_396678,DV365_RS02010,glutathione-disulfide reductase
41,NZ_CP031237.1_91796_91011,DV365_RS00460,nucleoside triphosphate pyrophosphohydrolase
42,NZ_CP031237.1_1365758_1365306,DV365_RS06670,dUTP diphosphatase
43,NZ_CP031237.1_117119_117901,DV365_RS00605,NAD(+) diphosphatase
44,NZ_CP031237.1_494892_495764,DV365_RS02535,NAD(+) kinase
45,NZ_CP031237.1_932177_930642,DV365_RS04585,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
46,NZ_CP031237.1_930625_929204,DV365_RS04580,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta
47,NZ_CP031237.1_61098_61802,DV365_RS00295,acid phosphatase AphA
48,NZ_CP031237.1_971966_970437,DV365_RS04750,signal peptide peptidase SppA
49,NZ_CP031237.1_1666085_1665354,DV365_RS08185,5'/3'-nucleotidase SurE
50,NZ_CP031237.1_1676812_1676045,DV365_RS08225,lipoprotein e(P4)
51,NZ_CP031237.1_196124_196762,DV365_RS01015,adenylate kinase
52,NZ_CP031237.1_1440319_1439702,DV365_RS07030,DNA gyrase inhibitor YacG
53,NZ_CP031237.1_7997_9712,DV365_RS00070,urease subunit alpha
54,NZ_CP031237.1_7301_7600,DV365_RS00060,urease subunit gamma
55,NZ_CP031237.1_1552808_1553854,DV365_RS07655,multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR
56,NZ_CP031237.1_1455215_1454793,DV365_RS07105,nucleoside-diphosphate kinase
57,NZ_CP031237.1_576904_577527,DV365_RS02905,guanylate kinase
58,NZ_CP031237.1_1234460_1233750,DV365_RS06055,UMP kinase
59,NZ_CP031237.1_1356518_1357393,DV365_RS06625,bifunctional riboflavin kinase/FAD synthetase
60,NZ_CP031237.1_1758457_1759239,DV365_RS08650,Cof-type HAD-IIB family hydrolase
61,NZ_CP031237.1_145690_146550,DV365_RS00740,pyridoxal kinase
62,NZ_CP031237.1_1123012_1121870,DV365_RS05520,methionine adenosyltransferase
63,NZ_CP031237.1_252252_251041,DV365_RS01315,pyridoxal phosphate-dependent aminotransferase
64,NZ_CP031237.1_353073_351397,DV365_RS01790,NAD nucleotidase
65,NZ_CP031237.1_1797463_1798269,DV365_RS08875,"3'(2'),5'-bisphosphate nucleotidase CysQ"
66,NZ_CP031237.1_706514_705975,DV365_RS03470,adenine phosphoribosyltransferase
67,NZ_CP031237.1_1143070_1142546,DV365_RS05620,hypoxanthine phosphoribosyltransferase
68,NZ_CP031237.1_1081225_1080539,DV365_RS05305,5'-methylthioadenosine/adenosylhomocysteine nucleosidase
69,NZ_CP031237.1_583175_584302,DV365_RS02930,FMN-dependent L-lactate dehydrogenase LldD
70,NZ_CP031237.1_1130093_1133170,DV365_RS05565,FAD-binding and (Fe-S)-binding domain-containing protein
71,NZ_CP031237.1_510503_512236,DV365_RS02590,lipid A ABC transporter ATP-binding protein/permease MsbA
72,NZ_CP031237.1_708086_706713,DV365_RS03475,dihydrolipoyl dehydrogenase
73,NZ_CP031237.1_709538_708234,DV365_RS03480,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase
74,NZ_CP031237.1_678902_680128,DV365_RS03340,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
75,NZ_CP031237.1_378905_381184,DV365_RS01925,formate C-acetyltransferase
76,NZ_CP031237.1_725552_726727,DV365_RS03545,NADP-dependent malic enzyme
77,NZ_CP031237.1_1334584_1333511,DV365_RS06500,3-isopropylmalate dehydrogenase
78,NZ_CP031237.1_725513_726721,DV365_RS03545,NADP-dependent malic enzyme
79,NZ_CP031237.1_725501_726721,DV365_RS03545,NADP-dependent malic enzyme
80,NZ_CP031237.1_248193_249548,DV365_RS01305,L-serine ammonia-lyase
81,NZ_CP031237.1_1583601_1582093,DV365_RS07790,"threonine ammonia-lyase, biosynthetic"
82,NZ_CP031237.1_1094181_1096313,DV365_RS05370,phosphate acetyltransferase
83,NZ_CP031237.1_1545599_1546777,DV365_RS07615,acetyl-CoA C-acetyltransferase
84,NZ_CP031237.1_1428520_1427423,DV365_RS06985,glutamate 5-kinase
85,NZ_CP031237.1_370047_368761,DV365_RS01875,NADP-specific glutamate dehydrogenase
86,NZ_CP031237.1_370107_368764,DV365_RS01875,NADP-specific glutamate dehydrogenase
87,NZ_CP031237.1_607780_608508,DV365_RS03015,5-oxoprolinase subunit PxpA
88,NZ_CP031237.1_606235_606840,DV365_RS03005,5-oxoprolinase subunit PxpB
89,NZ_CP031237.1_1459128_1457737,DV365_RS07120,glutamate--ammonia ligase
90,NZ_CP031237.1_77201_76623,DV365_RS00400,imidazole glycerol phosphate synthase subunit HisH
91,NZ_CP031237.1_694235_693666,DV365_RS03405,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
92,NZ_CP031237.1_1517647_1519017,DV365_RS07410,argininosuccinate lyase
93,NZ_CP031237.1_582154_582960,DV365_RS02925,glutamate racemase
94,NZ_CP031237.1_253696_255384,DV365_RS01330,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
95,NZ_CP031237.1_202234_199757,DV365_RS01040,nitrate reductase catalytic subunit NapA
96,NZ_CP031237.1_1210118_1210738,DV365_RS05940,superoxide dismutase [Mn]
97,NZ_CP031237.1_1461951_1461325,DV365_RS07130,pyridoxamine 5'-phosphate oxidase
98,NZ_CP031237.1_1516624_1517508,DV365_RS07405,UTP--glucose-1-phosphate uridylyltransferase GalU
99,NZ_CP031237.1_193604_194617,DV365_RS01005,UDP-glucose 4-epimerase GalE
100,NZ_CP031237.1_1186182_1184869,DV365_RS05820,xylose isomerase
101,NZ_CP031237.1_1133603_1134571,DV365_RS05575,ferrochelatase
102,NZ_CP031237.1_1092908_1094110,DV365_RS05365,acetate kinase
103,NZ_CP031237.1_577995_580037,DV365_RS02915,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"
104,NZ_CP031237.1_211432_209204,DV365_RS01090,GTP diphosphokinase
105,NZ_CP031237.1_1520219_1521832,DV365_RS07420,phosphoenolpyruvate carboxykinase (ATP)
106,NZ_CP031237.1_1088465_1087608,DV365_RS05335,malate dehydrogenase
107,NZ_CP031237.1_1062639_1065275,DV365_RS05245,phosphoenolpyruvate carboxylase
108,NZ_CP031237.1_550874_552376,DV365_RS02790,citrate lyase subunit alpha
109,NZ_CP031237.1_549990_550859,DV365_RS02785,citrate (pro-3S)-lyase subunit beta
110,NZ_CP031237.1_1049269_1050456,DV365_RS05135,amino acid aminotransferase
111,NZ_CP031237.1_1494250_1495905,DV365_RS07290,fumarate reductase (quinol) flavoprotein subunit
112,NZ_CP031237.1_172342_173553,DV365_RS00885,IscS subfamily cysteine desulfurase
113,NZ_CP031237.1_1002209_1003249,DV365_RS04915,alanine racemase
114,NZ_CP031237.1_1101757_1100891,DV365_RS05400,succinate--CoA ligase subunit alpha
115,NZ_CP031237.1_1102926_1101763,DV365_RS05405,ADP-forming succinate--CoA ligase subunit beta
116,NZ_CP031237.1_1727104_1725737,DV365_RS08495,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
117,NZ_CP031237.1_835375_836025,DV365_RS04065,GTP cyclohydrolase I FolE
118,NZ_CP031237.1_346715_346071,DV365_RS01765,GTP cyclohydrolase II
119,NZ_CP031237.1_1598106_1599350,DV365_RS07855,diaminopimelate decarboxylase
120,NZ_CP031237.1_1753061_1750902,DV365_RS08615,ornithine decarboxylase SpeF
121,NZ_CP031237.1_527670_528305,DV365_RS02660,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
122,NZ_CP031237.1_477251_479695,DV365_RS02430,bifunctional aspartate kinase/homoserine dehydrogenase I
123,NZ_CP031237.1_1793745_1792756,DV365_RS08850,aspartate--ammonia ligase
124,NZ_CP031237.1_12927_14324,DV365_RS00095,aspartate ammonia-lyase
125,NZ_CP031237.1_886223_884832,DV365_RS04395,class II fumarate hydratase
126,NZ_CP031237.1_1507657_1508703,DV365_RS07365,galactose-1-phosphate uridylyltransferase
127,NZ_CP031237.1_1077631_1080456,DV365_RS05300,TonB-dependent receptor
128,NZ_CP031237.1_1014411_1015694,DV365_RS04975,3-phosphoshikimate 1-carboxyvinyltransferase
129,NZ_CP031237.1_426633_426031,DV365_RS02175,uridine kinase
130,NZ_CP031237.1_373921_374754,DV365_RS01905,S-formylglutathione hydrolase
131,NZ_CP031237.1_488461_489837,DV365_RS02505,cysteine--tRNA ligase
132,NZ_CP031237.1_425998_425420,DV365_RS02170,dCTP deaminase
133,NZ_CP031237.1_1220987_1219353,DV365_RS06000,CTP synthase (glutamine hydrolyzing)
134,NZ_CP031237.1_1265235_1264294,DV365_RS06200,phosphoserine phosphatase
135,NZ_CP031237.1_747974_748987,DV365_RS03625,homoserine O-acetyltransferase
136,NZ_CP031237.1_791447_792418,DV365_RS03830,thiamine-phosphate kinase
137,NZ_CP031237.1_675994_678789,DV365_RS03335,2-oxoglutarate dehydrogenase E1 component
138,NZ_CP031237.1_482863_483942,DV365_RS02465,methionine biosynthesis PLP-dependent protein
139,NZ_CP031237.1_1387937_1389244,DV365_RS06785,phosphopyruvate hydratase
140,NZ_CP031237.1_1214552_1215808,DV365_RS05975,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
141,NZ_CP031237.1_1662934_1661528,DV365_RS08160,tryptophanase
142,NZ_CP031237.1_853096_852293,DV365_RS04165,tryptophan synthase subunit alpha
143,NZ_CP031237.1_854289_853108,DV365_RS04170,tryptophan synthase subunit beta
144,NZ_CP031237.1_1370978_1372510,DV365_RS06710,"L-2,4-diaminobutyrate decarboxylase"
145,NZ_CP031237.1_1149734_1148580,DV365_RS05660,prephenate dehydratase
146,NZ_CP031237.1_483961_484938,DV365_RS02470,2-hydroxyacid dehydrogenase
147,NZ_CP031237.1_986029_985103,DV365_RS04825,2-hydroxyacid dehydrogenase
148,NZ_CP031237.1_144670_145614,DV365_RS00735,acetyl-CoA carboxylase carboxyl transferase subunit alpha
149,NZ_CP031237.1_1350365_1349022,DV365_RS06575,acetyl-CoA carboxylase biotin carboxylase subunit
150,NZ_CP031237.1_744598_745482,DV365_RS03610,"acetyl-CoA carboxylase, carboxyltransferase subunit beta"
151,NZ_CP031237.1_372788_373921,DV365_RS01900,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
152,NZ_CP031237.1_1339406_1340365,DV365_RS06525,6-phosphofructokinase
153,NZ_CP031237.1_377483_376572,DV365_RS01915,N-acetylglucosamine kinase
154,NZ_CP031237.1_1074361_1075335,DV365_RS05290,class 1 fructose-bisphosphatase
155,NZ_CP031237.1_1700071_1701027,DV365_RS08350,class II fructose-bisphosphatase
156,NZ_CP031237.1_415915_416691,DV365_RS02120,glucosamine-6-phosphate deaminase
157,NZ_CP031237.1_119056_120885,DV365_RS00620,glutamine--fructose-6-phosphate transaminase (isomerizing)
158,NZ_CP031237.1_1003367_1005013,DV365_RS04920,glucose-6-phosphate isomerase
159,NZ_CP031237.1_606858_607763,DV365_RS03010,5-oxoprolinase/urea amidolyase family protein
160,NZ_CP031237.1_435313_436473,DV365_RS02230,cystathionine beta-lyase
161,NZ_CP031237.1_482857_483930,DV365_RS02465,methionine biosynthesis PLP-dependent protein
162,NZ_CP031237.1_1190425_1191549,DV365_RS05840,MalY/PatB family protein
163,NZ_CP031237.1_1223220_1224353,DV365_RS06015,cytochrome d ubiquinol oxidase subunit II
164,NZ_CP031237.1_1798360_1799802,DV365_RS08880,glucose-6-phosphate dehydrogenase
165,NZ_CP031237.1_1628137_1627133,DV365_RS07995,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
166,NZ_CP031237.1_1679818_1678304,DV365_RS08240,glycerol kinase GlpK
167,NZ_CP031237.1_1197884_1196952,DV365_RS05865,cysteine synthase A
168,NZ_CP031237.1_1696279_1694828,DV365_RS08310,aminoacyl-histidine dipeptidase
169,NZ_CP031237.1_631785_630319,DV365_RS03125,leucyl aminopeptidase
170,NZ_CP031237.1_1747609_1748730,DV365_RS08595,Zn-dependent hydrolase
171,NZ_CP031237.1_1545602_1546777,DV365_RS07615,acetyl-CoA C-acetyltransferase
172,NZ_CP031237.1_1428621_1429100,DV365_RS06990,type 3 dihydrofolate reductase
173,NZ_CP031237.1_745499_746791,DV365_RS03615,bifunctional tetrahydrofolate synthase/dihydrofolate synthase
174,NZ_CP031237.1_1013575_1014408,DV365_RS04970,formyltetrahydrofolate deformylase
175,NZ_CP031237.1_1441656_1440394,DV365_RS07040,serine hydroxymethyltransferase
176,NZ_CP031237.1_1578183_1576786,DV365_RS07780,phospho-sugar mutase
177,NZ_CP031237.1_699987_700676,DV365_RS03440,orotidine-5'-phosphate decarboxylase
178,NZ_CP031237.1_703770_703147,DV365_RS03460,uracil phosphoribosyltransferase
179,NZ_CP031237.1_896758_895280,DV365_RS04455,anthranilate synthase component I
180,NZ_CP031237.1_895240_894662,DV365_RS04450,aminodeoxychorismate/anthranilate synthase component II
181,NZ_CP031237.1_1693279_1692542,DV365_RS08295,triose-phosphate isomerase
182,NZ_CP031237.1_966947_967759,DV365_RS04730,phosphorylcholine kinase LicA
183,NZ_CP031237.1_1681921_1680878,DV365_RS08250,glycerophosphodiester phosphodiesterase
184,NZ_CP031237.1_1032256_1033200,DV365_RS05060,ribose-phosphate pyrophosphokinase
185,NZ_CP031237.1_50774_49869,DV365_RS00245,ribokinase
186,NZ_CP031237.1_86059_85412,DV365_RS00440,ribose-5-phosphate isomerase RpiA
187,NZ_CP031237.1_576656_575661,DV365_RS02900,type I glyceraldehyde-3-phosphate dehydrogenase
188,NZ_CP031237.1_1181681_1181091,DV365_RS05800,deoxyribose-phosphate aldolase
189,NZ_CP031237.1_1274163_1276106,DV365_RS06250,transketolase
190,NZ_CP031237.1_24457_25527,DV365_RS00145,class II fructose-bisphosphate aldolase
191,NZ_CP031237.1_81932_81027,DV365_RS00420,ATP phosphoribosyltransferase
192,NZ_CP031237.1_1091661_1090150,DV365_RS05350,amidophosphoribosyltransferase
193,NZ_CP031237.1_895240_894674,DV365_RS04450,aminodeoxychorismate/anthranilate synthase component II
194,NZ_CP031237.1_894171_893173,DV365_RS04440,anthranilate phosphoribosyltransferase
195,NZ_CP031237.1_326002_326907,DV365_RS01695,bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA
196,NZ_CP031237.1_175726_177315,DV365_RS00910,Fe-S protein assembly chaperone HscA
197,NZ_CP031237.1_715208_716977,DV365_RS03500,molecular chaperone DnaK
198,NZ_CP031237.1_1729822_1728458,DV365_RS08510,adenylosuccinate lyase
199,NZ_CP031237.1_1105412_1106440,DV365_RS05420,branched-chain-amino-acid transaminase
200,NZ_CP031237.1_1508783_1509922,DV365_RS07370,galactokinase
201,NZ_CP031237.1_761622_762284,DV365_RS03685,acylneuraminate cytidylyltransferase
202,NZ_CP031237.1_1444754_1443168,DV365_RS07050,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
203,NZ_CP031237.1_325866_324421,DV365_RS01690,IMP dehydrogenase
204,NZ_CP031237.1_1058904_1060196,DV365_RS05230,adenylosuccinate synthase
205,NZ_CP031237.1_1155146_1154232,DV365_RS05685,D-alanine--D-alanine ligase
206,NZ_CP031237.1_1368885_1370165,DV365_RS06695,diaminobutyrate--2-oxoglutarate transaminase
207,NZ_CP031237.1_80928_79648,DV365_RS00415,histidinol dehydrogenase
208,NZ_CP031237.1_162372_160687,DV365_RS00815,long-chain-fatty-acid--CoA ligase FadD
209,NZ_CP031237.1_1542909_1543559,DV365_RS07600,acetate CoA-transferase subunit alpha
210,NZ_CP031237.1_1543573_1544232,DV365_RS07605,3-oxoacid CoA-transferase subunit B
211,NZ_CP031237.1_1382114_1382908,DV365_RS06760,inositol-1-monophosphatase
212,NZ_CP031237.1_1585546_1583711,DV365_RS07795,dihydroxy-acid dehydratase
213,NZ_CP031237.1_1336215_1334698,DV365_RS06505,2-isopropylmalate synthase
214,NZ_CP031237.1_1622980_1623816,DV365_RS07975,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
215,NZ_CP031237.1_838153_837284,DV365_RS04080,methylenetetrahydrofolate reductase
216,NZ_CP031237.1_1696390_1696854,DV365_RS08315,xanthine phosphoribosyltransferase
217,NZ_CP031237.1_1677765_1678229,DV365_RS08235,xanthine phosphoribosyltransferase
218,NZ_CP031237.1_324293_322731,DV365_RS01685,glutamine-hydrolyzing GMP synthase
219,NZ_CP031237.1_231158_230346,DV365_RS01205,pyrroline-5-carboxylate reductase
220,NZ_CP031237.1_982597_981455,DV365_RS04810,8-amino-7-oxononanoate synthase
221,NZ_CP031237.1_63257_62757,DV365_RS00305,S-ribosylhomocysteine lyase
222,NZ_CP031237.1_1792014_1792685,DV365_RS08845,phosphoglycolate phosphatase
223,NZ_CP031237.1_986026_985097,DV365_RS04825,2-hydroxyacid dehydrogenase
224,NZ_CP031237.1_1758041_1757040,DV365_RS08645,ornithine carbamoyltransferase
225,NZ_CP031237.1_384533_385252,DV365_RS01950,peptidoglycan editing factor PgeF
226,NZ_CP031237.1_1274142_1276142,DV365_RS06250,transketolase
227,NZ_CP031237.1_480698_481969,DV365_RS02440,threonine synthase
228,NZ_CP031237.1_526258_527655,DV365_RS02655,glucuronate isomerase
229,NZ_CP031237.1_23180_24331,DV365_RS00140,phosphoglycerate kinase
230,NZ_CP031237.1_85370_84141,DV365_RS00435,phosphoglycerate dehydrogenase
231,NZ_CP031237.1_475038_476171,DV365_RS02420,glycerate kinase
232,NZ_CP031237.1_1558813_1558130,DV365_RS07695,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase"
233,NZ_CP031237.1_1801646_1803046,DV365_RS08900,decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase
234,NZ_CP031237.1_1791294_1791962,DV365_RS08840,ribulose-phosphate 3-epimerase
235,NZ_CP031237.1_661307_660402,DV365_RS03260,KpsF/GutQ family sugar isomerase
236,NZ_CP031237.1_524450_525349,DV365_RS02645,sugar kinase
237,NZ_CP031237.1_855066_854314,DV365_RS04175,SDR family oxidoreductase
238,NZ_CP031237.1_525403_526245,DV365_RS02650,SDR family oxidoreductase
239,NZ_CP031237.1_19980_20543,DV365_RS00120,thymidine kinase
240,NZ_CP031237.1_1616783_1618519,DV365_RS07940,L-fucose isomerase
241,NZ_CP031237.1_1509947_1510966,DV365_RS07375,galactose-1-epimerase
242,NZ_CP031237.1_1184800_1183352,DV365_RS05815,xylulokinase
243,NZ_CP031237.1_843567_842689,DV365_RS04110,"(2E,6E)-farnesyl diphosphate synthase"
244,NZ_CP031237.1_1366873_1365830,DV365_RS06675,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
245,NZ_CP031237.1_361381_360311,DV365_RS01840,chorismate synthase
246,NZ_CP031237.1_778332_779441,DV365_RS03760,bifunctional chorismate mutase/prephenate dehydrogenase
247,NZ_CP031237.1_1123747_1124697,DV365_RS05530,aminodeoxychorismate synthase component I
248,NZ_CP031237.1_1123702_1123133,DV365_RS05525,anthranilate synthase component II
249,NZ_CP031237.1_252403_253677,DV365_RS01325,isochorismate synthase MenF
250,NZ_CP031237.1_755758_756459,DV365_RS03660,hydroxyacylglutathione hydrolase
251,NZ_CP031237.1_479720_480643,DV365_RS02435,homoserine kinase
252,NZ_CP031237.1_747920_748984,DV365_RS03625,homoserine O-acetyltransferase
253,NZ_CP031237.1_414697_415536,DV365_RS02115,N-acetylneuraminate lyase
254,NZ_CP031237.1_1578309_1576783,DV365_RS07780,phospho-sugar mutase
255,NZ_CP031237.1_977098_976061,DV365_RS04780,3-deoxy-7-phosphoheptulonate synthase AroG
256,NZ_CP031237.1_1171862_1170912,DV365_RS05755,transaldolase
257,NZ_CP031237.1_1700062_1701051,DV365_RS08350,class II fructose-bisphosphatase
258,NZ_CP031237.1_265662_266300,DV365_RS01405,orotate phosphoribosyltransferase
259,NZ_CP031237.1_258562_257807,DV365_RS01345,uridine phosphorylase
260,NZ_CP031237.1_944604_943759,DV365_RS04630,cytidine deaminase
261,NZ_CP031237.1_1270272_1271726,DV365_RS06230,FGGY-family carbohydrate kinase
262,NZ_CP031237.1_401261_401974,DV365_RS02050,3-oxoacyl-ACP reductase FabG
263,NZ_CP031237.1_1390345_1391511,DV365_RS06800,glutathionylspermidine synthase family protein
264,NZ_CP031237.1_1692095_1692409,DV365_RS08290,thiosulfate sulfurtransferase GlpE
265,NZ_CP031237.1_611153_609822,DV365_RS03025,argininosuccinate synthase
266,NZ_CP031237.1_843570_842749,DV365_RS04110,"(2E,6E)-farnesyl diphosphate synthase"
267,NZ_CP031237.1_1799917_1800612,DV365_RS08885,6-phosphogluconolactonase
268,NZ_CP031237.1_416782_417924,DV365_RS02125,N-acetylglucosamine-6-phosphate deacetylase
269,NZ_CP031237.1_822726_824057,DV365_RS03985,phosphoglucosamine mutase
270,NZ_CP031237.1_101709_102632,DV365_RS00525,1-phosphofructokinase
271,NZ_CP031237.1_1545599_1546774,DV365_RS07615,acetyl-CoA C-acetyltransferase
272,NZ_CP031237.1_412194_412874,DV365_RS02100,N-acetylmannosamine-6-phosphate 2-epimerase
273,NZ_CP031237.1_94608_95225,DV365_RS00480,dTMP kinase
274,NZ_CP031237.1_1425124_1424276,DV365_RS06965,thymidylate synthase
275,NZ_CP031237.1_1615774_1616520,DV365_RS07935,DeoR/GlpR family DNA-binding transcription regulator
276,NZ_CP031237.1_1303875_1303246,DV365_RS06385,aldolase
277,NZ_CP031237.1_1620490_1621116,DV365_RS07955,L-fuculose-phosphate aldolase
278,NZ_CP031237.1_1368876_1370159,DV365_RS06695,diaminobutyrate--2-oxoglutarate transaminase
279,NZ_CP031237.1_1722745_1723857,DV365_RS08465,aspartate-semialdehyde dehydrogenase
280,NZ_CP031237.1_286798_285920,DV365_RS01510,4-hydroxy-tetrahydrodipicolinate synthase
281,NZ_CP031237.1_1469489_1468929,DV365_RS07160,5-formyltetrahydrofolate cyclo-ligase
282,NZ_CP031237.1_854274_853114,DV365_RS04170,tryptophan synthase subunit beta
283,NZ_CP031237.1_1716045_1715314,DV365_RS08425,glycosyltransferase family 2 protein
284,NZ_CP031237.1_351082_350570,DV365_RS01785,shikimate kinase AroK
285,NZ_CP031237.1_1713710_1714513,DV365_RS08415,shikimate dehydrogenase
286,NZ_CP031237.1_744377_743016,DV365_RS03605,DegQ family serine endoprotease
287,NZ_CP031237.1_1374656_1373643,DV365_RS06720,outer membrane-stress sensor serine endopeptidase DegS
288,NZ_CP031237.1_1689657_1688182,DV365_RS08275,ketol-acid reductoisomerase
289,NZ_CP031237.1_575434_573650,DV365_RS02895,long-chain fatty acid--CoA ligase
290,NZ_CP031237.1_482839_483942,DV365_RS02465,methionine biosynthesis PLP-dependent protein
291,NZ_CP031237.1_220828_220424,DV365_RS01145,lactoylglutathione lyase
292,NZ_CP031237.1_1266367_1267362,DV365_RS06210,3-dehydro-L-gulonate 2-dehydrogenase
293,NZ_CP031237.1_412928_413794,DV365_RS02105,N-acetylmannosamine kinase
294,NZ_CP031237.1_464788_465915,DV365_RS02370,succinyl-diaminopimelate desuccinylase
295,NZ_CP031237.1_1568523_1567702,DV365_RS07735,diaminopimelate epimerase
296,NZ_CP031237.1_1723914_1724843,DV365_RS08470,alpha/beta hydrolase
297,NZ_CP031237.1_1457632_1456613,DV365_RS07115,"dTDP-glucose 4,6-dehydratase"
298,NZ_CP031237.1_1160370_1159069,DV365_RS05705,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
