,Joined,Locus tag,Name
54,NC_22356.1_402685_404154,HIFGL_RS01955,exopolyphosphatase
55,NC_22356.1_452153_453199,HIFGL_RS02195,multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR
56,NC_22356.1_79954_80376,HIFGL_RS00375,nucleoside-diphosphate kinase
57,NC_22356.1_1449625_1450248,HIFGL_RS06965,guanylate kinase
58,NC_22356.1_733976_734686,HIFGL_RS03595,UMP kinase
59,NC_22356.1_593394_594269,HIFGL_RS02945,bifunctional riboflavin kinase/FAD synthetase
60,NC_22356.1_243995_244786,HIFGL_RS01225,Cof-type HAD-IIB family hydrolase
61,NC_22356.1_1794122_1794982,HIFGL_RS08630,pyridoxal kinase
62,NC_22356.1_1455323_1456465,HIFGL_RS06990,methionine adenosyltransferase
63,NC_22356.1_1839592_1840803,HIFGL_RS08870,pyridoxal phosphate-dependent aminotransferase
64,NC_22356.1_1705093_1706769,HIFGL_RS08155,NAD nucleotidase
65,NC_22356.1_206379_207185,HIFGL_RS01000,"3'(2'),5'-bisphosphate nucleotidase CysQ"
66,NC_22356.1_938406_938945,HIFGL_RS04605,adenine phosphoribosyltransferase
67,NC_22356.1_1502114_1502638,HIFGL_RS07215,hypoxanthine phosphoribosyltransferase
68,NC_22356.1_920599_921285,HIFGL_RS04525,5'-methylthioadenosine/adenosylhomocysteine nucleosidase
69,NC_22356.1_1442503_1443630,HIFGL_RS06940,FMN-dependent L-lactate dehydrogenase LldD
70,NC_22356.1_1488958_1492038,HIFGL_RS07155,FAD-binding and (Fe-S)-binding domain-containing protein
71,NC_22356.1_1589763_1591496,HIFGL_RS07640,lipid A ABC transporter ATP-binding protein/permease MsbA
72,NC_22356.1_1255526_1256944,HIFGL_RS06060,pyruvate kinase
73,NC_22356.1_939143_940516,HIFGL_RS04610,dihydrolipoyl dehydrogenase
74,NC_22356.1_940665_941963,HIFGL_RS04615,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase
75,NC_22356.1_1339612_1340838,HIFGL_RS06475,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
76,NC_22356.1_798765_801044,HIFGL_RS03900,formate C-acetyltransferase
77,NC_22356.1_956991_958166,HIFGL_RS04675,NADP-dependent malic enzyme
78,NC_22356.1_616585_617658,HIFGL_RS03070,3-isopropylmalate dehydrogenase
79,NC_22356.1_956952_958160,HIFGL_RS04675,NADP-dependent malic enzyme
80,NC_22356.1_956940_958160,HIFGL_RS04675,NADP-dependent malic enzyme
81,NC_22356.1_1836726_1838081,HIFGL_RS08860,L-serine ammonia-lyase
82,NC_22356.1_159398_160906,HIFGL_RS00770,"threonine ammonia-lyase, biosynthetic"
83,NC_22356.1_905508_907640,HIFGL_RS04460,phosphate acetyltransferase
84,NC_22356.1_459247_460425,HIFGL_RS02235,acetyl-CoA C-acetyltransferase
85,NC_22356.1_528729_529826,HIFGL_RS02635,glutamate 5-kinase
86,NC_22356.1_873042_874328,HIFGL_RS04305,NADP-specific glutamate dehydrogenase
87,NC_22356.1_872982_874325,HIFGL_RS04305,NADP-specific glutamate dehydrogenase
88,NC_22356.1_1418419_1419147,HIFGL_RS06850,5-oxoprolinase subunit PxpA
89,NC_22356.1_1420087_1420692,HIFGL_RS06860,5-oxoprolinase subunit PxpB
90,NC_22356.1_76044_77432,HIFGL_RS00360,glutamate--ammonia ligase
91,NC_22356.1_926368_926946,HIFGL_RS04540,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
92,NC_22356.1_366482_367375,HIFGL_RS01800,L-asparaginase 2
93,NC_22356.1_485936_487306,HIFGL_RS02435,argininosuccinate lyase
94,NC_22356.1_1443844_1444650,HIFGL_RS06945,glutamate racemase
95,NC_22356.1_1842246_1843934,HIFGL_RS08880,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
96,NC_22356.1_103200_105677,HIFGL_RS00495,nitrate reductase catalytic subunit NapA
97,NC_22356.1_757701_758321,HIFGL_RS03705,superoxide dismutase [Mn]
98,NC_22356.1_72181_72807,HIFGL_RS00345,pyridoxamine 5'-phosphate oxidase
99,NC_22356.1_487435_488319,HIFGL_RS02440,UTP--glucose-1-phosphate uridylyltransferase GalU
100,NC_22356.1_97047_98060,HIFGL_RS00460,UDP-glucose 4-epimerase GalE
101,NC_22356.1_782256_783569,HIFGL_RS03825,xylose isomerase
102,NC_22356.1_1493142_1494107,HIFGL_RS07175,ferrochelatase
103,NC_22356.1_907711_908913,HIFGL_RS04465,acetate kinase
104,NC_22356.1_1446768_1448810,HIFGL_RS06955,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"
105,NC_22356.1_112829_115057,HIFGL_RS00545,GTP diphosphokinase
106,NC_22356.1_483121_484734,HIFGL_RS02425,phosphoenolpyruvate carboxykinase (ATP)
107,NC_22356.1_913358_914215,HIFGL_RS04495,malate dehydrogenase
108,NC_22356.1_1316455_1319091,HIFGL_RS06380,phosphoenolpyruvate carboxylase
109,NC_22356.1_1549465_1550967,HIFGL_RS07440,citrate lyase subunit alpha
110,NC_22356.1_1550982_1551851,HIFGL_RS07445,citrate (pro-3S)-lyase subunit beta
111,NC_22356.1_1301437_1302624,HIFGL_RS06270,amino acid aminotransferase
112,NC_22356.1_509070_510809,HIFGL_RS02555,fumarate reductase (quinol) flavoprotein subunit
113,NC_22356.1_1767185_1768396,HIFGL_RS08485,IscS subfamily cysteine desulfurase
114,NC_22356.1_1258526_1259566,HIFGL_RS06070,alanine racemase
115,NC_22356.1_900048_900914,HIFGL_RS04430,succinate--CoA ligase subunit alpha
116,NC_22356.1_898879_900042,HIFGL_RS04425,ADP-forming succinate--CoA ligase subunit beta
117,NC_22356.1_273904_275271,HIFGL_RS01355,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
118,NC_22356.1_1214265_1214915,HIFGL_RS05855,GTP cyclohydrolase I FolE
119,NC_22356.1_1612127_1612771,HIFGL_RS07725,GTP cyclohydrolase II
120,NC_22356.1_175600_176844,HIFGL_RS00835,diaminopimelate decarboxylase
121,NC_22356.1_255031_257190,HIFGL_RS01280,ornithine decarboxylase SpeF
122,NC_22356.1_1573705_1574340,HIFGL_RS07570,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
123,NC_22356.1_851927_854371,HIFGL_RS04185,bifunctional aspartate kinase/homoserine dehydrogenase I
124,NC_22356.1_210904_211893,HIFGL_RS01025,aspartate--ammonia ligase
125,NC_22356.1_319096_320490,HIFGL_RS01600,aspartate ammonia-lyase
126,NC_22356.1_1159029_1160420,HIFGL_RS05600,class II fumarate hydratase
127,NC_22356.1_496230_497276,HIFGL_RS02480,galactose-1-phosphate uridylyltransferase
128,NC_22356.1_921387_924140,HIFGL_RS04530,TonB-dependent receptor
129,NC_22356.1_1270743_1272026,HIFGL_RS06125,3-phosphoshikimate 1-carboxyvinyltransferase
130,NC_22356.1_1743056_1743658,HIFGL_RS08350,uridine kinase
131,NC_22356.1_868339_869157,HIFGL_RS04275,S-formylglutathione hydrolase
132,NC_22356.1_862139_863515,HIFGL_RS04250,cysteine--tRNA ligase
133,NC_22356.1_1743691_1744269,HIFGL_RS08355,dCTP deaminase
134,NC_22356.1_747456_749090,HIFGL_RS03645,CTP synthase (glutamine hydrolyzing)
135,NC_22356.1_656865_657806,HIFGL_RS03210,phosphoserine phosphatase
136,NC_22356.1_980410_981423,HIFGL_RS04760,homoserine O-acetyltransferase
137,NC_22356.1_1083584_1084555,HIFGL_RS05275,thiamine-phosphate kinase
138,NC_22356.1_1340951_1343746,HIFGL_RS06480,2-oxoglutarate dehydrogenase E1 component
139,NC_22356.1_857540_858619,HIFGL_RS04220,methionine biosynthesis PLP-dependent protein
140,NC_22356.1_562189_563496,HIFGL_RS02795,phosphopyruvate hydratase
141,NC_22356.1_752631_753887,HIFGL_RS03670,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
142,NC_22356.1_390002_391408,HIFGL_RS01905,tryptophanase
143,NC_22356.1_1105298_1106077,HIFGL_RS05380,tryptophan synthase subunit alpha
144,NC_22356.1_1106089_1107270,HIFGL_RS05385,tryptophan synthase subunit beta
145,NC_22356.1_578889_580421,HIFGL_RS02870,"L-2,4-diaminobutyrate decarboxylase"
146,NC_22356.1_1508149_1509285,HIFGL_RS07255,prephenate dehydratase
147,NC_22356.1_858638_859615,HIFGL_RS04225,2-hydroxyacid dehydrogenase
148,NC_22356.1_1041975_1042901,HIFGL_RS05085,2-hydroxyacid dehydrogenase
149,NC_22356.1_1795058_1796002,HIFGL_RS08635,acetyl-CoA carboxylase carboxyl transferase subunit alpha
150,NC_22356.1_600417_601760,HIFGL_RS02990,acetyl-CoA carboxylase biotin carboxylase subunit
151,NC_22356.1_977082_977966,HIFGL_RS04745,"acetyl-CoA carboxylase, carboxyltransferase subunit beta"
152,NC_22356.1_869172_870305,HIFGL_RS04280,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
153,NC_22356.1_610829_611788,HIFGL_RS03045,6-phosphofructokinase
154,NC_22356.1_865611_866522,HIFGL_RS04265,N-acetylglucosamine kinase
155,NC_22356.1_1328164_1329138,HIFGL_RS06425,class 1 fructose-bisphosphatase
156,NC_22356.1_304068_305024,HIFGL_RS01505,class II fructose-bisphosphatase
157,NC_22356.1_836242_837018,HIFGL_RS04095,glucosamine-6-phosphate deaminase
158,NC_22356.1_49577_51406,HIFGL_RS00245,glutamine--fructose-6-phosphate transaminase (isomerizing)
159,NC_22356.1_1259683_1261329,HIFGL_RS06075,glucose-6-phosphate isomerase
160,NC_22356.1_1419164_1420069,HIFGL_RS06855,5-oxoprolinase/urea amidolyase family protein
161,NC_22356.1_1733221_1734381,HIFGL_RS08295,cystathionine beta-lyase
162,NC_22356.1_857534_858610,HIFGL_RS04220,methionine biosynthesis PLP-dependent protein
163,NC_22356.1_776911_778041,HIFGL_RS03805,MalY/PatB family protein
164,NC_22356.1_744091_745224,HIFGL_RS03635,cytochrome d ubiquinol oxidase subunit II
165,NC_22356.1_204847_206289,HIFGL_RS00995,glucose-6-phosphate dehydrogenase
166,NC_22356.1_1653834_1654838,HIFGL_RS07910,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
167,NC_22356.1_406839_408353,HIFGL_RS01975,glycerol kinase GlpK
168,NC_22356.1_770556_771488,HIFGL_RS03780,cysteine synthase A
169,NC_22356.1_309013_310464,HIFGL_RS01545,aminoacyl-histidine dipeptidase
170,NC_22356.1_1394676_1396142,HIFGL_RS06740,leucyl aminopeptidase
171,NC_22356.1_249406_250617,HIFGL_RS01250,Zn-dependent hydrolase
172,NC_22356.1_459247_460422,HIFGL_RS02235,acetyl-CoA C-acetyltransferase
173,NC_22356.1_528149_528628,HIFGL_RS02630,type 3 dihydrofolate reductase
174,NC_22356.1_977983_979275,HIFGL_RS04750,bifunctional tetrahydrofolate synthase/dihydrofolate synthase
175,NC_22356.1_1269907_1270740,HIFGL_RS06120,formyltetrahydrofolate deformylase
176,NC_22356.1_93484_94746,HIFGL_RS00440,serine hydroxymethyltransferase
177,NC_22356.1_1169314_1170597,HIFGL_RS05640,glucose-1-phosphate adenylyltransferase
178,NC_22356.1_154090_155487,HIFGL_RS00760,phospho-sugar mutase
179,NC_22356.1_932403_933092,HIFGL_RS04575,orotidine-5'-phosphate decarboxylase
180,NC_22356.1_935562_936185,HIFGL_RS04595,uracil phosphoribosyltransferase
181,NC_22356.1_1148501_1149979,HIFGL_RS05545,anthranilate synthase component I
182,NC_22356.1_1150019_1150597,HIFGL_RS05550,aminodeoxychorismate/anthranilate synthase component II
183,NC_22356.1_422949_423686,HIFGL_RS02040,triose-phosphate isomerase
184,NC_22356.1_1060262_1061077,HIFGL_RS05180,phosphorylcholine kinase LicA
185,NC_22356.1_411472_412515,HIFGL_RS01995,glycerophosphodiester phosphodiesterase
186,NC_22356.1_1288659_1289603,HIFGL_RS06210,ribose-phosphate pyrophosphokinase
187,NC_22356.1_353606_354511,HIFGL_RS01735,ribokinase
188,NC_22356.1_138522_139163,HIFGL_RS00665,ribose-5-phosphate isomerase RpiA
189,NC_22356.1_1450496_1451491,HIFGL_RS06970,type I glyceraldehyde-3-phosphate dehydrogenase
190,NC_22356.1_786756_787346,HIFGL_RS03845,deoxyribose-phosphate aldolase
191,NC_22356.1_654527_656503,HIFGL_RS03205,transketolase
192,NC_22356.1_330680_331750,HIFGL_RS01650,class II fructose-bisphosphate aldolase
193,NC_22356.1_910162_911673,HIFGL_RS04480,amidophosphoribosyltransferase
194,NC_22356.1_1150019_1150585,HIFGL_RS05550,aminodeoxychorismate/anthranilate synthase component II
195,NC_22356.1_1151088_1152086,HIFGL_RS05560,anthranilate phosphoribosyltransferase
196,NC_22356.1_1667702_1668607,HIFGL_RS07985,bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA
197,NC_22356.1_1763423_1765012,HIFGL_RS08460,Fe-S protein assembly chaperone HscA
198,NC_22356.1_947892_949661,HIFGL_RS04635,molecular chaperone DnaK
199,NC_22356.1_271187_272554,HIFGL_RS01340,adenylosuccinate lyase
200,NC_22356.1_895231_896259,HIFGL_RS04410,branched-chain amino acid aminotransferase
201,NC_22356.1_495018_496157,HIFGL_RS02475,galactokinase
202,NC_22356.1_992755_993417,HIFGL_RS04800,N-acylneuraminate cytidylyltransferase
203,NC_22356.1_90417_92003,HIFGL_RS00430,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
204,NC_22356.1_1668743_1670188,HIFGL_RS07990,IMP dehydrogenase
205,NC_22356.1_1312720_1314012,HIFGL_RS06365,adenylosuccinate synthase
206,NC_22356.1_1513783_1514697,HIFGL_RS07280,D-alanine--D-alanine ligase
207,NC_22356.1_580629_581909,HIFGL_RS02875,diaminobutyrate--2-oxoglutarate transaminase
208,NC_22356.1_1778318_1780003,HIFGL_RS08555,long-chain-fatty-acid--CoA ligase FadD
209,NC_22356.1_462465_463115,HIFGL_RS02250,acetate CoA-transferase subunit alpha
210,NC_22356.1_461792_462451,HIFGL_RS02245,3-oxoacid CoA-transferase subunit B
211,NC_22356.1_568514_569308,HIFGL_RS02820,inositol-1-monophosphatase
212,NC_22356.1_161016_162851,HIFGL_RS00775,dihydroxy-acid dehydratase
213,NC_22356.1_614952_616490,HIFGL_RS03065,2-isopropylmalate synthase
214,NC_22356.1_1650440_1651276,HIFGL_RS07895,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
215,NC_22356.1_1212142_1213011,HIFGL_RS05840,methylenetetrahydrofolate reductase
216,NC_22356.1_308439_308903,HIFGL_RS01540,xanthine phosphoribosyltransferase
217,NC_22356.1_406189_406755,HIFGL_RS01970,xanthine phosphoribosyltransferase
218,NC_22356.1_1670315_1671877,HIFGL_RS07995,glutamine-hydrolyzing GMP synthase
219,NC_22356.1_1819142_1819954,HIFGL_RS08765,pyrroline-5-carboxylate reductase
220,NC_22356.1_153397_153897,HIFGL_RS00755,S-ribosylhomocysteine lyase
221,NC_22356.1_211964_212635,HIFGL_RS01030,phosphoglycolate phosphatase
222,NC_22356.1_1042062_1042907,HIFGL_RS05085,2-hydroxyacid dehydrogenase
223,NC_22356.1_245213_246214,HIFGL_RS01230,ornithine carbamoyltransferase
224,NC_22356.1_804379_805104,HIFGL_RS03925,peptidoglycan editing factor PgeF
225,NC_22356.1_654491_656491,HIFGL_RS03205,transketolase
226,NC_22356.1_855374_856645,HIFGL_RS04195,threonine synthase
227,NC_22356.1_1574355_1575752,HIFGL_RS07575,glucuronate isomerase
228,NC_22356.1_329402_330553,HIFGL_RS01645,phosphoglycerate kinase
229,NC_22356.1_139211_140440,HIFGL_RS00670,phosphoglycerate dehydrogenase
230,NC_22356.1_849713_850846,HIFGL_RS04175,glycerate kinase
231,NC_22356.1_433910_434593,HIFGL_RS02080,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase"
232,NC_22356.1_202190_203590,HIFGL_RS00980,decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase
233,NC_22356.1_212687_213355,HIFGL_RS01035,ribulose-phosphate 3-epimerase
234,NC_22356.1_1359901_1360806,HIFGL_RS06555,KpsF/GutQ family sugar isomerase
235,NC_22356.1_1576661_1577560,HIFGL_RS07585,sugar kinase
236,NC_22356.1_1107288_1108040,HIFGL_RS05390,SDR family oxidoreductase
237,NC_22356.1_1575765_1576607,HIFGL_RS07580,SDR family oxidoreductase
238,NC_22356.1_326210_326773,HIFGL_RS01625,thymidine kinase
239,NC_22356.1_1644231_1645979,HIFGL_RS07860,L-fucose isomerase
240,NC_22356.1_493974_494993,HIFGL_RS02470,galactose-1-epimerase
241,NC_22356.1_783638_785086,HIFGL_RS03830,xylulokinase
242,NC_22356.1_1206737_1207528,HIFGL_RS05810,"(2E,6E)-farnesyl diphosphate synthase"
243,NC_22356.1_583918_584961,HIFGL_RS02895,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
244,NC_22356.1_881708_882778,HIFGL_RS04340,chorismate synthase
245,NC_22356.1_1245186_1246295,HIFGL_RS06020,bifunctional chorismate mutase/prephenate dehydrogenase
246,NC_22356.1_1482471_1483421,HIFGL_RS07120,aminodeoxychorismate synthase component I
247,NC_22356.1_1481857_1482426,HIFGL_RS07115,anthranilate synthase component II
248,NC_22356.1_1148498_1149991,HIFGL_RS05545,anthranilate synthase component I
249,NC_22356.1_1840954_1842228,HIFGL_RS08875,isochorismate synthase MenF
250,NC_22356.1_986901_987587,HIFGL_RS04775,hydroxyacylglutathione hydrolase
251,NC_22356.1_854396_855319,HIFGL_RS04190,homoserine kinase
252,NC_22356.1_980356_981420,HIFGL_RS04760,homoserine O-acetyltransferase
253,NC_22356.1_835218_836057,HIFGL_RS04090,N-acetylneuraminate lyase
254,NC_22356.1_154087_155613,HIFGL_RS00760,phospho-sugar mutase
255,NC_22356.1_1050909_1051946,HIFGL_RS05130,3-deoxy-7-phosphoheptulonate synthase AroG
256,NC_22356.1_796575_797525,HIFGL_RS03890,transaldolase
257,NC_22356.1_304044_305033,HIFGL_RS01505,class II fructose-bisphosphatase
258,NC_22356.1_1854210_1854848,HIFGL_RS08955,orotate phosphoribosyltransferase
259,NC_22356.1_1846357_1847112,HIFGL_RS08895,uridine phosphorylase
260,NC_22356.1_1228852_1229664,HIFGL_RS05940,cytidine deaminase
261,NC_22356.1_821782_822495,HIFGL_RS04025,3-oxoacyl-ACP reductase FabG
262,NC_22356.1_559922_561088,HIFGL_RS02780,glutathionylspermidine synthase family protein
263,NC_22356.1_422500_422814,HIFGL_RS02035,thiosulfate sulfurtransferase GlpE
264,NC_22356.1_1415764_1417095,HIFGL_RS06840,argininosuccinate synthase
265,NC_22356.1_1206650_1207525,HIFGL_RS05810,"(2E,6E)-farnesyl diphosphate synthase"
266,NC_22356.1_204033_204728,HIFGL_RS00990,6-phosphogluconolactonase
267,NC_22356.1_837107_838249,HIFGL_RS04100,N-acetylglucosamine-6-phosphate deacetylase
268,NC_22356.1_1186988_1188319,HIFGL_RS05705,phosphoglucosamine mutase
269,NC_22356.1_448756_449679,HIFGL_RS02180,1-phosphofructokinase
270,NC_22356.1_459250_460425,HIFGL_RS02235,acetyl-CoA C-acetyltransferase
271,NC_22356.1_832715_833395,HIFGL_RS04075,N-acetylmannosamine-6-phosphate 2-epimerase
272,NC_22356.1_441672_442298,HIFGL_RS02135,dTMP kinase
273,NC_22356.1_532125_532973,HIFGL_RS02655,thymidylate synthase
274,NC_22356.1_1643223_1643969,HIFGL_RS07855,DeoR/GlpR family DNA-binding transcription regulator
275,NC_22356.1_1015953_1016582,HIFGL_RS04915,3-oxo-tetronate 4-phosphate decarboxylase
276,NC_22356.1_1647950_1648576,HIFGL_RS07875,L-fuculose-phosphate aldolase
277,NC_22356.1_580635_581918,HIFGL_RS02875,diaminobutyrate--2-oxoglutarate transaminase
278,NC_22356.1_281102_282214,HIFGL_RS01395,aspartate-semialdehyde dehydrogenase
279,NC_22356.1_18098_18976,HIFGL_RS00090,4-hydroxy-tetrahydrodipicolinate synthase
280,NC_22356.1_1684111_1684671,HIFGL_RS08045,5-formyltetrahydrofolate cyclo-ligase
281,NC_22356.1_1106095_1107255,HIFGL_RS05385,tryptophan synthase subunit beta
282,NC_22356.1_290379_291110,HIFGL_RS01440,glycosyltransferase family 2 protein
283,NC_22356.1_1704272_1704784,HIFGL_RS08150,shikimate kinase AroK
284,NC_22356.1_291911_292714,HIFGL_RS01450,shikimate dehydrogenase
285,NC_22356.1_249400_250599,HIFGL_RS01250,Zn-dependent hydrolase
286,NC_22356.1_975499_976860,HIFGL_RS04740,DegQ family serine endoprotease
287,NC_22356.1_576850_577722,HIFGL_RS02860,outer membrane-stress sensor serine endopeptidase DegS
288,NC_22356.1_418774_420249,HIFGL_RS02020,ketol-acid reductoisomerase
289,NC_22356.1_1451717_1453501,HIFGL_RS06975,long-chain fatty acid--CoA ligase
290,NC_22356.1_857516_858619,HIFGL_RS04220,methionine biosynthesis PLP-dependent protein
291,NC_22356.1_1808346_1808750,HIFGL_RS08695,lactoylglutathione lyase
292,NC_22356.1_833449_834315,HIFGL_RS04080,N-acetylmannosamine kinase
293,NC_22356.1_1474875_1476002,HIFGL_RS07085,succinyl-diaminopimelate desuccinylase
294,NC_22356.1_192216_193037,HIFGL_RS00910,diaminopimelate epimerase
295,NC_22356.1_280116_281045,HIFGL_RS01390,alpha/beta hydrolase
296,NC_22356.1_77538_78557,HIFGL_RS00365,"dTDP-glucose 4,6-dehydratase"
297,NC_22356.1_1518578_1519879,HIFGL_RS07300,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
298,NC_22356.1_1522461_1523921,HIFGL_RS07315,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
299,NC_22356.1_225691_226611,HIFGL_RS01120,type I pantothenate kinase
300,NC_22356.1_288560_289027,HIFGL_RS01430,pantetheine-phosphate adenylyltransferase
301,NC_22356.1_1188360_1189184,HIFGL_RS05710,dihydropteroate synthase
302,NC_22356.1_1703152_1704213,HIFGL_RS08145,3-dehydroquinate synthase
303,NC_22356.1_599181_599627,HIFGL_RS02980,type II 3-dehydroquinate dehydratase
304,NC_22356.1_1048003_1048617,HIFGL_RS05115,dethiobiotin synthase
305,NC_22356.1_1829_2827,HIFGL_RS00020,UDP-N-acetylmuramate dehydrogenase
306,NC_22356.1_1514783_1516177,HIFGL_RS07285,UDP-N-acetylmuramate--L-alanine ligase
